activity,technology,uniquename
Webinars,Microsoft Azure - Development Frameworks,visouza
Webinars,Microsoft Azure - Infra,visouza
Webinars,Microsoft Azure - IoT,visouza
Webinars,Microsoft Azure - Storage,visouza
Webinars,Microsoft Azure - Web & Mobile,visouza
Metric Management,Not Applyable,cyzanon
Coding - OSS Contribution,Microsoft Azure - Analytics,visouza
Coding - OSS Contribution,Microsoft Azure - Storage,visouza
Coding - OSS Contribution,Microsoft Azure - Web & Mobile,visouza
Metric Management,Microsoft Azure - Web & Mobile,cyzanon
ROB,Microsoft Azure - Analytics,fabsanc
ROB,Microsoft Azure - Client-side Tech,fabsanc
ROB,Microsoft Azure - Development Frameworks,fabsanc
ROB,Microsoft Azure - Infra,fabsanc
ROB,Microsoft Azure - IoT,fabsanc
ROB,Microsoft Azure - Storage,fabsanc
ROB,Microsoft Azure - Web & Mobile,fabsanc
ROB,Office 365,fabsanc
POC,Microsoft Azure - Infra,fabsanc
POC,Microsoft Azure - Storage,fabsanc
POC,Microsoft Azure - Web & Mobile,fabsanc
Customer Engagements,Bot Framework,altargin
Customer Engagements,Cognitive Services,altargin
Customer Engagements,Enterprise Mobility Suite (EMS),altargin
Customer Engagements,Machine Learning,altargin
Customer Engagements,Microsoft Azure - Storage,altargin
Customer Engagements,Microsoft Azure - Web & Mobile,altargin
Customer Engagements,Microsoft Azure - Active Directory,altargin
Customer Engagements,Microsoft Azure - Analytics,altargin
Customer Engagements,Microsoft Azure - Client-side Tech,altargin
Customer Engagements,Microsoft Azure - Development Frameworks,altargin
Customer Engagements,Microsoft Azure - Infra,altargin
Customer Engagements,Microsoft Azure - IoT,altargin
ROB,Microsoft Azure - Active Directory,altargin
ROB,Microsoft Azure - Analytics,altargin
ROB,Microsoft Azure - Client-side Tech,altargin
ROB,Microsoft Azure - Development Frameworks,altargin
ROB,Microsoft Azure - Infra,altargin
ROB,Microsoft Azure - IoT,altargin
ROB,Microsoft Azure - Storage,altargin
ROB,Microsoft Azure - Web & Mobile,altargin
Preparation Presentation,Microsoft Azure - Active Directory,altargin
Preparation Presentation,Microsoft Azure - Development Frameworks,altargin
Preparation Presentation,Microsoft Azure - Infra,altargin
Preparation Presentation,Microsoft Azure - IoT,altargin
Preparation Presentation,Microsoft Azure - Storage,altargin
Preparation Presentation,Microsoft Azure - Web & Mobile,altargin
Meetups - Organization,Not Applyable,cyzanon
Assessment Meeting,Not Applyable,fabsanc
Design Sessions,Bot Framework,fabsanc
Design Sessions,Cognitive Services,fabsanc
Design Sessions,Microsoft Azure - Active Directory,fabsanc
Design Sessions,Microsoft Azure - Analytics,fabsanc
Design Sessions,Microsoft Azure - Client-side Tech,fabsanc
Design Sessions,Microsoft Azure - Development Frameworks,fabsanc
Design Sessions,Microsoft Azure - Infra,fabsanc
Design Sessions,Microsoft Azure - IoT,fabsanc
